Location_Code,latitude,longitude,depth,SampleID,time,Temp,Air_Temp,Salinity,Chl_Volume_Filtered,Chl1,Chl2,Avg_Chloro,Phaeo1,Phaeo2,Avg_Phaeo,Phosphate,Silicate,Nitrite,Nitrite_Nitrate,Ammonium,Nitrate,DA_Volume_Filtered,pDA,tDA,dDA,Volume_Settled_for_Counting,Akashiwo_sanguinea,Alexandrium_spp,Dinophysis_spp,Lingulodinium_polyedra,Prorocentrum_spp,Pseudo_nitzschia_delicatissima_group,Pseudo_nitzschia_seriata_group,Ceratium_spp,Cochlodinium_spp,Gymnodinium_spp,Other_Diatoms,Other_Dinoflagellates,Total_Phytoplankton,Sample Depth,Datetime
NP,33.6061,-117.9311,,NP071618,7/16/18,21.9,,,100,2.08,2.1,2.09,,,,0,0,0,0,0.79,0,200,0,,,25,0,0,0,0,2599,2599,23389,,,,150729,7796,187112,,
SIO,32.867,-117.257,,20180716,7/16/18,21.2,,,100,2.26,2.26,2.26,0.42,0.48,0.45,0.13,3.3,0,,0.58,0,200,0,,,,,,,,,,,,,,,,,,
SMP,34.008,-118.499,,518,7/16/18,22.4,,,200,,,0.1,,,,0.4,,5.49,,2.49,0.43,200,0,,,,0,0,0,0,374,0,0,,,0,0,374,748,,
SW,34.408043,-119.68485,1,20180723,7/23/18,19.3,20.6,,188,2.231,,2.231,0.452,,0.452,0,2.925,0,0,1.823,0,188,0,,,50,0,1158,0,11291,8685,57611,12449,6659,579,,,,98431,1,
SIO,32.867,-117.257,,20180723,7/23/18,23.1,,,100,1.19,1.2,1.19,0.17,0.27,0.22,0.11,1.6,0,,0.33,0,200,0,,,,,,,,,,,,,,,,,,
NP,33.6061,-117.9311,,NP072318,7/23/18,19.2,,,100,2,2.01,2,,,,0,2.55,0,0,1.45,0,200,0,,,25,0,0,0,0,7796,5198,0,,,,85759,20790,119544,,
SMP,34.008,-118.499,,519,7/23/18,23,,,200,,,0.1,,,,0.33,,1.75,,1.88,0.24,200,0,,,,0,0,0,0,0,0,0,,,0,1496,0,1496,,
SW,34.408043,-119.68485,1,20180730,7/30/18,18,18.4,,188,6.093,,6.093,1.243,,1.243,0.169,3.21,0,0,11.277,0,188,0,,,50,2316,3474,0,74113,5211,7527,7238,5501,1448,,,,106827,1,
SIO,32.867,-117.257,,20180730,7/30/18,25.3,,,100,1.77,1.76,1.77,0.21,0.29,0.25,0,0,0,,0.3,0.22,200,0,,,,,,,,,,,,,,,,,,
NP,33.6061,-117.9311,,NP073018,7/30/18,24.2,,,100,1.7,1.62,1.66,,,,0.16,1.46,0,0,0.99,0,200,0,,,25,0,0,0,0,0,28586,0,,,,176716,20790,226093,,
SMP,34.008,-118.499,,520,7/30/18,23,,,200,,,0.2,,,,0.26,,2.02,,1.74,0.53,200,0,,,,0,0,0,0,4488,0,0,,,0,13838,1496,19822,,
NP,33.6061,-117.9311,,NP080618,8/6/18,23.3,,,100,1.05,1.05,1.05,,,,0,3.11,0,0,0.57,0,200,0,,,25,0,0,0,0,5198,0,0,,,,114346,12994,132538,,
SW,34.408043,-119.68485,1,20180806,8/6/18,19.7,24.8,,188,1.035,,1.035,0.167,,0.167,0,2.74,0,0,9.107,0,188,0,,,50,0,0,0,6659,2895,290,1448,579,579,,,,12449,1,
SMP,34.008,-118.499,,521,8/6/18,22.8,,,200,,,0.2,,,,0.09,,1.01,,0.01,0.93,200,0,,,,0,0,0,0,374,0,0,,,0,10098,374,10846,,
SIO,32.867,-117.257,,20180806,8/6/18,25.5,,,100,2.54,2.59,2.56,0.69,0.68,0.68,0,1.1,0,,0,0,200,0,,,,,,,,,,,,,,,,,,
SW,34.408043,-119.68485,1,20180813,8/13/18,22,22.5,,188,1.06,,1.06,0.565,,0.565,0.417,4.628,0,0.481,12.903,0.481,188,0,,,50,579,0,0,3185,2027,2171,1158,145,0,,,,9264,1,
SIO,32.867,-117.257,,20180813,8/13/18,25.1,,,100,1.1,1.07,1.08,0.12,0.19,0.15,0,1.4,0,,0,0,200,0,,,,,,,,,,,,,,,,,,
SMP,34.008,-118.499,,522,8/13/18,24.9,,,200,,,0.1,,,,0.51,,6.32,,6,2.8,200,0,,,,0,0,0,0,748,0,0,,,0,2244,0,3740,,
NP,33.6061,-117.9311,,NP081318,8/13/18,23,,,100,1.71,1.69,1.7,,,,0.11,2.36,0,0,0.25,0,200,0,,,25,0,0,0,0,12994,0,7796,,,,267673,41580,330044,,
SW,34.408043,-119.68485,1,20180820,8/20/18,22.1,20.5,,188,0.889,,0.889,0.681,,0.681,0.383,3.524,0.109,0.483,8.145,0.374,188,0,,,50,0,290,290,4053,4053,1737,2027,3474,1303,,,,17225,1,
SIO,32.867,-117.257,,20180820,8/20/18,23.1,,,100,1.48,1.46,1.47,0.35,0.33,0.34,0.35,2.2,0,,0,0.21,200,0,,,,,,,,,,,,,,,,,,
NP,33.6061,-117.9311,,NP082018,8/20/18,22.5,,,100,1.49,1.39,1.44,,,,0,1.45,0,0,0.33,0,200,0,,,25,0,0,0,0,0,10395,0,,,,142932,31185,184513,,
SMP,34.008,-118.499,,523,8/20/18,22.8,,,200,,,0.1,,,,0.54,,0.1,,2.58,0.06,200,0,,,,0,0,0,0,0,0,0,,,0,0,0,374,,
NP,33.6061,-117.9311,,NP082718,8/27/18,20.2,,,100,1.59,1.72,1.66,,,,0.12,1.45,0,0,0.45,0,200,0,,,25,0,0,0,0,0,5198,0,,,,23389,25988,54575,,
SW,34.408043,-119.68485,1,20180827,8/27/18,19.4,19.1,,188,1.802,,1.802,0.531,,0.531,0.146,4.381,0,0,0.654,0,188,0,,,50,0,579,869,12159,4632,4632,2895,3185,1158,,,,30108,1,
SIO,32.867,-117.257,,20180827,8/27/18,23.7,,,100,2.77,2.8,2.78,0.35,0.38,0.36,0.13,1.3,0,,0,0,200,0,,,,,,,,,,,,,,,,,,
SMP,34.008,-118.499,,524,8/27/18,22,,,200,,,0.4,,,,0.51,,2.72,,4.66,2.85,200,0,,,,0,0,0,0,0,0,0,,,0,25058,0,25806,,
SMP,34.008,-118.499,,525,9/3/18,22,,,200,,,1.6,,,,0.31,,4.89,,1.18,0,200,0,,,,0,0,0,0,748,7480,0,,,0,283866,1496,293590,,
SW,34.408043,-119.68485,1,20180904,9/4/18,18,18.5,,188,2.24,,2.24,0.639,,0.639,0.615,6.807,0.106,0.371,2.947,0.265,188,0,,,50,0,579,0,25766,579,3764,1448,2895,579,,,,35609,1,
SIO,32.867,-117.257,,20180904,9/4/18,23.1,,,100,6.55,6.85,6.7,0.77,1.16,0.96,0,0,0,,0.41,0,200,0,,,,,,,,,,,,,,,,,,
NP,33.6061,-117.9311,,NP090518,9/5/18,21.2,,,100,4.11,4.34,4.23,,,,0.12,0,0,0,1.19,0,200,0,,,25,0,0,0,0,2599,0,0,,,,244285,15593,262476,,
NP,33.6061,-117.9311,,NP091018,9/10/18,21.8,,,100,3.79,4.01,3.9,,,,0,0,0,0,0.3,0,200,0,,,25,0,0,0,0,0,5198,0,,,,155926,18191,179316,,
SIO,32.867,-117.257,,20180910,9/10/18,21.3,,,100,1.65,1.61,1.63,0.35,0.36,0.35,0.23,1.6,0,,0.46,0,200,0,,,,,,,,,,,,,,,,,,
SMP,34.008,-118.499,,526,9/10/18,22.1,,,200,,,0.6,,,,0.19,,3.49,,0.9,0.61,200,0,,,,0,0,0,374,0,1122,0,,,0,57596,0,59092,,
SW,34.408043,-119.68485,1,20180911,9/11/18,19.4,19.4,,188,2.462,,2.462,0.969,,0.969,0.352,4.068,0,0.217,4.573,0.217,188,0,,,50,290,579,579,35030,4632,5211,1737,5790,290,,,,54137,1,
NP,33.6061,-117.9311,,NP091718,9/17/18,19.6,,,100,1.42,1.46,1.44,,,,0.16,2.39,0,0,0.35,0,200,0,,,25,0,0,0,0,2599,0,0,,,,5198,10395,18192,,
SW,34.408043,-119.68485,1,20180917,9/17/18,20.1,19,,188,1.291,,1.291,0.615,,0.615,0.212,2.67,0,0,1.26,0,188,0,,,50,0,0,0,4632,4922,4632,1448,1448,869,,,,17949,1,
SIO,32.867,-117.257,,20180917,9/17/18,21.9,,,100,1.61,1.64,1.62,0.41,0.35,0.38,0.14,1.9,0,,0,0,200,0,,,,,,,,,,,,,,,,,,
SMP,34.008,-118.499,,527,9/17/18,22,,,200,,,0.2,,,,0.12,,2.8,,0.25,0.26,200,0,,,,1122,2244,0,748,8228,0,0,,,3740,4488,4488,26180,,
NP,33.6061,-117.9311,,NP092418,9/24/18,19.5,,,100,2.38,2.31,2.35,,,,0.16,3.18,0,0,1.13,0,200,0,,,25,0,0,0,0,10395,0,0,,,,15593,28586,54574,,
SIO,32.867,-117.257,,20180924,9/24/18,21.3,,,100,1.7,1.64,1.67,0.26,0.26,0.26,0.11,2.1,0,,0,0,200,0,,,,,,,,,,,,,,,,,,
SMP,34.008,-118.499,,528,9/24/18,22,,,200,,,0.1,,,,0.17,,1.17,,0.47,0.66,200,0,,,,0,0,0,0,4862,0,0,,,0,748,748,7106,,
SW,34.408043,-119.68485,1,20180925,9/25/18,19.9,17.7,,188,1.839,,1.839,0.527,,0.527,0.103,1.454,0,0,0.223,0,188,0,,,50,0,0,579,4632,1448,22581,3764,1158,579,,,,34740,1,
NP,33.6061,-117.9311,,NP100118,10/1/18,18.4,,,100,1.3,1.35,1.32,,,,0.19,3.25,0,0.39,0.71,0.39,200,0,,,25,0,0,0,0,0,10395,0,,,,31185,5198,46778,,
SW,34.408043,-119.68485,1,20181001,10/1/18,17.5,20.2,,188,2.191,,2.191,1.791,,1.791,0.493,4.967,0.146,0.271,14.425,0.125,188,0,,,50,0,0,0,8685,2895,19107,1448,579,0,,,,32714,1,
SIO,32.867,-117.257,,20181001,10/1/18,20.3,,,100,1.2,1.17,1.19,0.2,0.2,0.2,0,2.5,0,,0,0,200,0,,,,,,,,,,,,,,,,,,
SMP,34.008,-118.499,,529,10/1/18,20.6,,,200,,,0.4,,,,0.56,,1.88,,0.89,0.49,200,0,,,,374,374,0,374,2618,748,1122,,,0,34034,2992,44132,,
NP,33.6061,-117.9311,,NP100818,10/8/18,20.3,,,100,0.66,0.69,0.67,,,,0,1.4,0,0,1.45,0,200,0,,,25,0,0,0,0,7796,0,0,,,,10395,2599,20790,,
SW,34.408043,-119.68485,1,20181008,10/8/18,19.5,21.5,,188,1.495,,1.495,0.432,,0.432,0.124,2.245,0,0.215,0.576,0.215,188,0,,,50,0,0,0,16791,5501,18528,20844,579,4922,,,,67165,1,
SIO,32.867,-117.257,,20181008,10/8/18,18.7,,,100,0.17,0.97,0.57,0,0.06,0,0.18,2.8,0,,0.27,0,200,0,,,,,,,,,,,,,,,,,,
SMP,34.008,-118.499,,530,10/8/18,20.9,,,200,,,1.4,,,,1.2,,2.93,,1.73,0.33,200,0,,,,0,0,0,0,4488,1870,748,,,0,121176,748,129030,,
SW,34.408043,-119.68485,1,20181015,10/15/18,19.1,24.6,,188,1.108,,1.108,0.473,,0.473,0.285,4.214,0,0.277,9.104,0.277,188,0,,,50,0,1158,145,1303,2027,579,434,290,145,,,,6080,1,
SIO,32.867,-117.257,,20181015,10/15/18,18.1,,,100,1.43,1.44,1.44,0.18,0.19,0.18,0.23,2.8,0,,0.53,0,200,0,,,,,,,,,,,,,,,,,,
NP,33.6061,-117.9311,,NP101518,10/15/18,16,,,100,2.46,2.65,2.55,,,,0.18,2.27,0,0,0.63,0,200,0,,,25,0,0,0,0,2599,7796,0,,,,25988,5198,41580,,
SMP,34.008,-118.499,,531,10/15/18,20,,,200,,,0.1,,,,0.73,,0.25,,3.23,0.11,200,0,,,,0,0,0,0,3366,0,0,,,0,3740,2618,9724,,
NP,33.6061,-117.9311,,NP102218,10/22/18,17.5,,,100,2.34,2.38,2.36,,,,0.14,3.62,0,0,0.48,0,200,0,,,25,0,0,0,0,23389,10395,0,,,,10395,31185,75364,,
SW,34.408043,-119.68485,1,20181022,10/22/18,18.5,17.9,,188,1.133,,1.133,0.34,,0.34,0.12,3.079,0,0,3.148,0,188,0,,,50,579,0,0,2027,2027,10712,2606,1448,290,,,,19686,1,
SIO,32.867,-117.257,,20181022,10/22/18,18.8,,,100,0.79,0.8,0.8,0,0,0,0.17,2.6,0,,0,0,200,0,,,,,,,,,,,,,,,,,,
SMP,34.008,-118.499,,532,10/22/18,19.6,,,200,,,0.3,,,,0.68,,0.45,,0.87,0.38,200,0,,,,0,0,0,374,9724,0,0,,,0,4862,4862,20944,,
NP,33.6061,-117.9311,,NP102918,10/29/18,19,,,100,1.9,1.93,1.92,,,,0.1,0,0,0,0.56,0,200,0,,,25,0,0,0,0,7796,0,5198,,,,54574,5198,72766,,
SIO,32.867,-117.257,,20181029,10/29/18,19,,,100,1.02,1.05,1.04,0.05,0.05,0.05,0.12,2.4,0,,0,0,200,0,,,,,,,,,,,,,,,,,,
SMP,34.008,-118.499,,533,10/29/18,19.3,,,200,,,0.4,,,,0.48,,0.73,,3.99,0.57,200,0,,,,0,0,0,0,2618,0,0,,,0,32912,374,35904,,
SW,34.408043,-119.68485,1,20181030,10/30/18,18.4,19.2,,188,0.84,,0.84,0.86,,0.86,0.425,4.219,0.136,0.49,8.043,0.354,188,0,,,50,290,1158,290,2606,2316,10422,11580,0,290,,,,28950,1,
NP,33.6061,-117.9311,,NP110518,11/5/18,19.4,,,100,1.73,1.78,1.76,,,,0.1,1.57,0,0,0.44,0,200,0,,,25,0,0,0,0,2599,0,0,,,,62371,5198,70167,,
SIO,32.867,-117.257,,20181105,11/5/18,19,,,100,0.46,0.44,0.45,0.17,0.18,0.17,0.12,2.1,0,,0.25,0,200,0,,,,,,,,,,,,,,,,,,
SMP,34.008,-118.499,,534,11/5/18,20,,,200,,,0.2,,,,0.58,,2.31,,0.91,0.22,200,0,,,,0,0,374,748,5610,748,1122,,,374,16082,2618,31416,,
SW,34.408043,-119.68485,1,20181106,11/6/18,18.9,17.5,,188,1.973,,1.973,0.534,,0.534,0.244,3.107,0,0,4.248,0,188,0,,,50,290,0,290,11001,5211,16791,2606,579,579,,,,37346,1,
NP,33.6061,-117.9311,,NP111218,11/12/18,18,,,100,1.52,1.53,1.52,,,,0.14,1.13,0,0,3.27,0,200,0,,,25,0,0,0,0,0,5198,0,,,,36383,12994,54575,,
SMP,34.008,-118.499,,535,11/12/18,20.1,,,200,,,0.6,,,,0.46,,0.36,,1.06,0.18,200,0,,,,0,0,0,0,1496,1496,0,,,0,63954,748,70312,,
SW,34.408043,-119.68485,1,20181113,11/13/18,18.75,24.9,,188,1.483,,1.483,0.554,,0.554,0.224,2.333,0,0,2.003,0,188,0,,,50,0,579,0,3908,2027,2895,1592,0,290,,,,11291,1,
SIO,32.867,-117.257,,20181113,11/13/18,17.5,,,100,0.73,0.71,0.72,0.37,0.43,0.4,0.24,2.7,0,,0.21,0.24,200,0,,,,,,,,,,,,,,,,,,
NP,33.6061,-117.9311,,NP111918,11/19/18,17.6,,,100,0.79,0.8,0.8,,,,0.12,1.16,0,0,1.35,0,200,0,,,25,0,0,0,0,0,10395,0,,,,7796,2599,20790,,
SW,34.408043,-119.68485,1,20181119,11/19/18,18.2,18.5,,188,1.096,,1.096,0.604,,0.604,0.491,3.771,0.146,0.428,2.112,0.283,188,0,,,50,0,579,0,1013,1882,3329,1882,145,0,,,,8830,1,
SIO,32.867,-117.257,,20181119,11/19/18,18.2,,,100,0.6,0.59,0.6,0,0,0,0.2,2.2,0,,0.34,0,200,0,,,,,,,,,,,,,,,,,,
SMP,34.008,-118.499,,536,11/19/18,18.3,,,200,,,0.1,,,,0.55,,0.43,,0.37,0,200,0,,,,0,0,0,0,2992,0,0,,,0,5236,1122,13464,,
NP,33.6061,-117.9311,,NP112618,11/26/18,18.1,,,100,1.85,1.8,1.82,,,,0.14,1.06,0,0,0.6,0,200,0,,,25,0,0,0,0,0,0,0,,,,64969,10395,75364,,
SW,34.408043,-119.68485,1,20181126,11/26/18,,,,188,1.242,,1.242,0.49,,0.49,0.247,3.077,0,0.328,7.859,0.328,188,0,,,50,0,0,145,1158,724,8830,145,724,0,,,,11725,1,
SIO,32.867,-117.257,,20181126,11/26/18,17.9,,,100,0.92,1.08,1,0.2,0.28,0.24,0.19,2.4,0,,0,0,200,0,,,,,,,,,,,,,,,,,,
SMP,34.008,-118.499,,537,11/26/18,18.7,,,200,,,1.3,,,,0.64,,0.52,,0.58,0.34,200,0,,,,0,0,374,1496,2244,2244,2992,,,0,46376,1496,57596,,
NP,33.6061,-117.9311,,NP120318,12/3/18,15.2,,,100,1.82,1.83,1.82,,,,0.38,3.9,0.39,2.43,0.92,2.04,200,0,,,25,0,0,0,0,0,5198,2599,,,,62371,2599,72766,,
SW,34.408043,-119.68485,1,20181203,12/3/18,14.1,17.1,,188,0.236,,0.236,0.458,,0.458,0.692,6.804,0.344,6.004,1.021,5.659,188,0,,,50,0,0,0,434,145,1737,869,0,0,,,,3185,1,
SIO,32.867,-117.257,,20181203,12/3/18,17.1,,,100,1.02,0.99,1,0.22,0.17,0.19,0.25,2.9,0,,0.4,0,200,0,,,,,,,,,,,,,,,,,,
SMP,34.008,-118.499,,538,12/3/18,15.9,,,200,,,0.4,,,,0.77,,1.01,,1.6,1.54,200,0,,,,0,0,0,0,0,0,5236,,,0,25058,0,30294,,
NP,33.6061,-117.9311,,NP121018,12/10/18,16.6,,,100,1.96,2.01,1.99,,,,0.35,1.26,0,0.63,5.23,0.63,200,0,,,25,0,0,0,7796,12994,2599,0,,,,10395,15593,49377,,
SW,34.408043,-119.68485,1,20181210,12/10/18,15.6,15.2,,188,1.835,,1.835,1.106,,1.106,0.426,3.034,0.132,0.53,1.178,0.398,188,0,,,50,0,8106,0,5501,4343,5211,6948,1737,290,,,,32135,1,
SIO,32.867,-117.257,,20181210,12/10/18,16.9,,,100,0.64,0.62,0.63,0.09,0.07,0.08,0.4,1.7,0,,0.65,0,200,0,,,,,,,,,,,,,,,,,,
SMP,34.008,-118.499,,539,12/10/18,15.6,,,200,,,0.2,,,,0.65,,0.47,,0,0.51,200,0,,,,0,0,374,2244,1122,1496,1496,,,0,8976,748,16830,,
NP,33.6061,-117.9311,,NP 121718,12/17/18,16.2,,,100,2.46,2.3,2.38,,,,0.32,1.24,0,0,1.93,0,200,0,,,25,0,0,0,2599,2599,0,0,,,,20790,18191,44180,,
SW,34.408043,-119.68485,1,20181217,12/17/18,16.3,14.7,,188,0.6,,0.6,1.799,,1.799,0.635,3.217,0,0.547,29.58,0.547,188,0,,,50,0,290,0,2750,724,1013,579,290,145,,,,5790,1,
SIO,32.867,-117.257,,20181217,12/17/18,16.8,,,100,1.13,1.1,1.11,0.51,0.48,0.49,0.4,1.8,0,,0.59,0,200,0,,,,,,,,,,,,,,,,,,
SMP,34.008,-118.499,,540,12/17/18,19.1,,,200,,,0.1,,,,0.43,,0.52,,7.82,0.83,200,0,,,,0,0,0,374,374,374,0,,,0,4114,374,5610,,
SIO,32.867,-117.257,,20181223,12/23/18,16.7,,,100,0.96,0.95,0.95,0.31,0.38,0.34,0.44,2.1,0,,0.78,0.29,200,0,,,,,,,,,,,,,,,,,,
SMP,34.008,-118.499,,541,12/24/18,16.5,,,200,,,0.2,,,,0.51,,0,,1.46,1.14,200,0,,,,0,0,0,2618,1496,0,0,,,0,8976,748,13838,,
NP,33.6061,-117.9311,,NP123118,12/31/18,15.3,,,100,3.17,3.14,3.16,,,,0.41,2.5,0.12,0.51,0.8,0.39,200,0,,,25,0,0,0,2599,20790,0,5198,,,,15593,18191,62371,,
SIO,32.867,-117.257,,20181231,12/31/18,15.7,,,100,2.03,2.09,2.06,0.63,0.57,0.6,0.45,3.5,0,,0.45,0.2,200,0,,,,,,,,,,,,,,,,,,
SMP,34.008,-118.499,,542,12/31/18,14.8,,,200,,,0.2,,,,0.47,,0.58,,1.43,0.36,200,0,,,,0,0,0,0,1122,1870,2244,,,0,40766,1496,47498,,
SW,34.408043,-119.68485,1,20190102,1/2/19,14.7,15.2,,188,2.372,,2.372,0.836,,0.836,0.55,3.687,0,0.798,62.515,0.798,188,0,,,50,0,579,0,5066,290,1448,869,869,869,,,,9988,1,
NP,33.6061,-117.9311,,NP010719,1/7/19,15.5,,,100,1.79,1.8,1.8,,,,0.39,1.69,0,0.21,1.77,0.21,200,0,,,25,0,0,0,0,0,0,2599,,,,18191,7796,28587,,
SW,34.408043,-119.68485,1,20190107,1/7/19,14.8,14.1,,188,1.009,,1.009,0.666,,0.666,0.986,5.77,0.153,2.801,3.39,2.647,188,0,,,50,0,8685,0,3185,869,579,1158,1448,290,,,,16212,1,
SIO,32.867,-117.257,,20190107,1/7/19,15.3,,,100,0.71,0.69,0.7,0.46,0.48,0.47,0.48,2.5,0,,0.42,0.21,200,0,,,,0,0,89,446,535,980,0,1247,0,0,8733,8822,20852,,
SMP,34.008,-118.499,,543,1/7/19,15,,,200,,,0.2,,,,0.59,,0.41,,0.87,0.64,200,0,,,,0,0,0,0,0,0,0,,,0,9724,1496,11594,,
NP,33.6061,-117.9311,,NP011419,1/14/19,15.5,,,100,1.7,1.72,1.71,,,,0.4,1.96,0,0,7.4,0,200,0,,,25,0,0,0,0,5198,0,7796,,,,31185,7796,51976,,
SW,34.408043,-119.68485,1,20190114,1/14/19,14.9,14.5,,188,1.772,,1.772,0.869,,0.869,0.457,3.56,0,0.245,0.984,0.245,188,0,,,50,0,1737,869,2316,1737,2606,579,7238,290,,,,17370,1,
SIO,32.867,-117.257,,20190114,1/14/19,15.6,,,100,0.65,0.68,0.67,0.19,0.2,0.19,0.5,1.9,0,,0.34,0,200,0,,,,0,0,89,178,267,0,0,980,0,0,10515,11318,23347,,
SMP,34.008,-118.499,,544,1/14/19,14.6,,,200,,,0.2,,,,0.96,,0.72,,2.55,2.53,200,0,,,,0,0,0,0,0,3366,0,,,0,20944,374,24684,,
NP,33.6061,-117.9311,,NP012119,1/21/19,15.4,,,100,2.99,3.01,3,,,,0.47,2.98,0,0.74,6.04,0.74,200,0,,,25,0,0,0,0,0,0,0,,,,44179,0,44179,,
